idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
372,VST: EveryTrim (airwindows),C:\Program Files\Common Files\VST2\Airwindows\EveryTrim64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
373,VST3i: ExaktLite (Sonicbits),C:\Program Files\Common Files\VST3\ExaktLite.vst3\Contents\x86_64-win\ExaktLite.vst3,VST3I,Sonicbits,True,Instruments,Instruments,Instruments,Instruments
374,VST: Exciter (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Exciter64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
375,VST3i: Expanse          (Puremagnetik),C:\Program Files\Common Files\VST3\Expanse\includes\Expanse.vst3,VST3I,Puremagnetik,True,Instruments,Instruments,Instruments,Instruments
376,VST3: Extend (Outobugi),C:\Program Files\Common Files\VST3\Extend 1.1.0\Extend.vst3,VST3,Outobugi,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
377,VST3i: Extended DSF Algorithms (Walter Hackett),C:\Program Files\Common Files\VST3\Extended DSF Algorithms VST3.vst3,VST3I,Walter Hackett,True,Instruments,Instruments,Instruments,Instruments
378,VST: Facet (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Facet64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
379,VST: FathomFive (airwindows),C:\Program Files\Common Files\VST2\Airwindows\FathomFive64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
380,VST3: FBVC (Full Bucket Music),C:\Program Files\Common Files\VST3\fbvc.vst3,VST3,Full Bucket Music,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
381,VST3: FeenstaubHDR (Variety Of Sound),C:\Program Files\Common Files\VST3\FeenstaubHDR (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
382,VST3: FeenstaubTC (Variety Of Sound),C:\Program Files\Common Files\VST3\FeenstaubTC (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
383,VST: FerricTDSmkII (Variety Of Sound),C:\Program Files\Common Files\VST2\FerricTDSmkII (64).dll,VST,Variety Of Sound,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
384,VST3: FetDrive (AnalogObsession),C:\Program Files\Common Files\VST3\FetDrive.vst3\Contents\x86_64-win\FetDrive.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
385,VST3: FETish (AnalogObsession),C:\Program Files\Common Files\VST3\FETish.vst3\Contents\x86_64-win\FETish.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
386,VST3: FetSnap (AnalogObsession),C:\Program Files\Common Files\VST3\FetSnap.vst3\Contents\x86_64-win\FetSnap.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
387,VST3: Filterjam (AudioThing),C:\Program Files\Common Files\VST3\Filterjam_x64.vst3,VST3,AudioThing,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
388,VST: Filterstep (Audiomodern),C:\Program Files\Common Files\VST3\Acon Digital\Filterstep_64.dll,VST,Audiomodern,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
389,VST3: Filterstep_64 (Audiomodern),C:\Program Files\Common Files\VST3\Filterstep_64.vst3,VST3,Audiomodern,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
390,VST3: Filtron (Polyverse Music),C:\Program Files\Common Files\VST3\Filtron.vst3,VST3,Polyverse Music,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
391,VST: FinalClip (airwindows),C:\Program Files\Common Files\VST2\Airwindows\FinalClip64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Limiter/Clipper,Dynamics; Limiter/Clipper
392,VST3: Fire (Wings),C:\Program Files\Common Files\VST3\Fire.vst3,VST3,Wings,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
393,VST: FireAmp (airwindows),C:\Program Files\Common Files\VST2\Airwindows\FireAmp64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
394,VST3: FIVER (AnalogObsession),C:\Program Files\Common Files\VST3\FIVER.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,MultiFX/ChannelStrip,MultiFX/ChannelStrip
395,VST3: FKFX Noise Bleach (FKFX),C:\Program Files\Common Files\VST3\FKFX Noise Bleach.vst3,VST3,FKFX,False,Other/Unknown,Other/Unknown,Noise/Generator,Noise/Generator
396,VST3: FlavourMTC (Variety Of Sound),C:\Program Files\Common Files\VST3\FlavourMTC (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
397,VST: Flipity (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Flipity64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
398,VST: Floor (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Floor64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
399,VST: Flutter (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Flutter64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,LoFi/Degrade,LoFi/Degrade
400,VST: Flutter2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Flutter264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
401,VST3: Flux Mini 2 (Caelum Audio),C:\Program Files\Common Files\VST3\Flux Mini 2.vst3,VST3,Caelum Audio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
402,VST: Focus (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Focus64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
403,VST3: FogPad (igorski.nl),C:\Program Files\Common Files\VST3\fogpad.vst3,VST3,igorski.nl,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
404,VST: Fracture (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Fracture64.dll,VST,airwindows,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
405,VST3: Fracture (Glitchmachines),C:\Program Files\Common Files\VST3\Fracture.vst3,VST3,Glitchmachines,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
406,VST: Fracture2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Fracture264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
407,VST3: FractureXT (Glitchmachines),C:\Program Files\Common Files\VST3\FractureXT.vst3,VST3,Glitchmachines,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
408,VST3: Free Clip 2 (Venn Audio),C:\Program Files\Common Files\VST3\Free Clip 2.vst3,VST3,Venn Audio,False,Saturation/Distortion,Saturation/Distortion,Saturation/Distortion,Saturation/Distortion
409,VST3: Free Comp (Venn Audio),C:\Program Files\Common Files\VST3\Free Comp.vst3,VST3,Venn Audio,False,Dynamics,Dynamics,Dynamics,Dynamics
410,VST3: Free Convolve (Venn Audio),C:\Program Files\Common Files\VST3\Free Convolve.vst3,VST3,Venn Audio,False,Other/Unknown,Other/Unknown,Reverb,Reverb
411,VST3: Free Delay (Venn Audio),C:\Program Files\Common Files\VST3\Free Delay.vst3,VST3,Venn Audio,False,Delay,Delay,Delay,Delay
412,VST3: Free EQ (Venn Audio),C:\Program Files\Common Files\VST3\Free EQ.vst3,VST3,Venn Audio,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
413,VST3: Free Gain (Venn Audio),C:\Program Files\Common Files\VST3\Free Gain.vst3,VST3,Venn Audio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
414,VST3: Free Meter (Venn Audio),C:\Program Files\Common Files\VST3\Free Meter.vst3,VST3,Venn Audio,False,Metering/Analysis,Metering/Analysis,Metering/Analysis,Metering/Analysis
415,VST3: Free Pan (Venn Audio),C:\Program Files\Common Files\VST3\Free Pan.vst3,VST3,Venn Audio,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
416,VST3: Free Tone (Venn Audio),C:\Program Files\Common Files\VST3\Free Tone.vst3,VST3,Venn Audio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
417,VST: FREE87 FR-COMP (eaReckon),C:\Program Files\Common Files\VST3\FREE87 FR-COMP(x64).dll,VST,eaReckon,False,Dynamics,Dynamics,Dynamics,Dynamics
418,VST: FREE87 FR-EQUA (eaReckon),C:\Program Files\Common Files\VST3\FREE87 FR-EQUA(x64).dll,VST,eaReckon,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
419,VST: FREE87 FR-GATE (eaReckon),C:\Program Files\Common Files\VST3\FREE87 FR-GATE(x64).dll,VST,eaReckon,False,Dynamics,Dynamics,Gate/TranceGate,Dynamics; Gate/TranceGate
420,VST: FREE87 FR-LIMIT (eaReckon),C:\Program Files\Common Files\VST3\FREE87 FR-LIMIT(x64).dll,VST,eaReckon,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
421,VST: FreeClip (Venn Audio),C:\Program Files\Common Files\VST2\FreeClip.dll,VST,Venn Audio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
422,VST3: Frequalizer (Foleys Finest),C:\Program Files\Common Files\VST3\Frequalizer.vst3,VST3,Foleys Finest,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
423,VST3: Frohmager (Ohm Force),C:\Program Files\Common Files\VST3\Ohm Force\Frohmager.vst3,VST3,Ohm Force,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
424,VST: FromTape (airwindows),C:\Program Files\Common Files\VST2\Airwindows\FromTape64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,LoFi/Degrade,LoFi/Degrade
425,VST3: Frontier (D16 Group Audio Software),C:\Program Files\Common Files\VST3\D16 Group\Frontier.vst3,VST3,D16 Group Audio Software,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
426,VST3: Full Bucket Frequency Shifter (Full Bucket Music),C:\Program Files\Common Files\VST3\freqshifter.vst3,VST3,Full Bucket Music,False,Pitch/Time,Pitch/Time,Pitch/Time,Pitch/Time
427,VST: Full Bucket Phaser (Full Bucket Music),C:\Program Files\Common Files\VST2\fbphaser64.dll,VST,Full Bucket Music,False,Modulation,Modulation,Modulation,Modulation
