fx_display,fx_ident,fx_type,base_name,loaded_ok,load_name_used,param_count
,X-Raym Scripts/JSFX/MIDI/X-Raym_Last MIDI event monitor.jsfx,,,1,JS: Last MIDI event monitor,4
,ReaTeam JSFX/Filter/TiaR_Lattice Filter.jsfx,,,1,JS: Lattice Filter,18
,ReaTeam JSFX/MIDI/mathphreak_Learningbaby.jsfx,,,1,JS: Learningbaby,11
,ReaTeam JSFX/MIDI/mbncp_Legato Control.jsfx,,,1,JS: Legato control,10
,ReaTeam JSFX/Modulation/snjuk2_LFO.jsfx,,,1,JS: LFO,31
,ReaTeam JSFX/Misc/brumbear_LiveBeatRepeater.jsfx,,,1,JS: LiveBeatRepeater,23
,ReaTeam JSFX/Misc/brumbear_LiveScrubberDucky.jsfx,,,1,JS: LiveScrubberDucky,11
,loopsamplers/loopsampler-m2,,,1,JS: Loop Sampler,11
,loopsamplers/loopsampler-m2-midi,,,1,JS: Loop Sampler w/MIDI Triggers,12
,Liteon/lorenzattractor,,,1,JS: Lorenz Attractor,10
,ReaTeam JSFX/Distortion/Loudener.jsfx,,,1,JS: Loudener,8
,sstillwell/louderizer,,,1,JS: Louderizer,5
,sstillwell/louderizer_lpf,,,1,JS: Louderizer LP,8
,analysis/loudness_meter,,,1,JS: Loudness Meter Peak/RMS/LUFS (Cockos),25
,sstillwell/majortom,,,1,JS: Major Tom Compressor,11
,MPL Scripts/Various/mpl_MappingPanel_master.jsfx,,,1,JS: MappingPanel_master,19
,MPL Scripts/Various/mpl_MappingPanel_slave.jsfx,,,1,JS: MappingPanel_slave,67
,loser/masterLimiter,,,1,JS: Master Limiter,10
,sstillwell/mastertom,,,1,JS: Master Tom Compressor,11
,ReaTeam JSFX/MIDI/MB_MIDI Event Filter.jsfx,,,1,JS: MB MIDI Event Filter,13
,ReaTeam JSFX/MIDI/MB_ReautoMate.jsfx,,,1,JS: MB ReautoMate,16
,Liteon/pseudostereo,,,1,JS: MDA Pseudo-Stereo,7
,filters/mdct-filter,,,1,JS: MDCT Filter,7
,pitch/mdct-shift,,,1,JS: MDCT Shifter,5
,filters/mdct-volsweep,,,1,JS: MDCT Sweeping Filter,8
,ReaTeam JSFX/Distortion/reincore_MegaGrit.jsfx,,,1,JS: MegaGrit – 3-Band + Feedback Distortion,12
,loser/MGA_JSLimiter,,,1,JS: MGA JS Limiter,6
,loser/MGA_JSLimiterST,,,1,JS: MGA JS Limiter (Unlinked Stereo),7
,utility/KanakaMS5,,,1,JS: Mid/Side Decoder,6
,utility/KanakaMSEncoder1,,,1,JS: Mid/Side Encoder,3
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI Aftertouch eater.jsfx,,,1,JS: MIDI Aftertouch eater,3
,midi/midi_arp,,,1,JS: MIDI Arpeggiator,11
,ReaTeam JSFX/Utility/mschnell_Midi Auto Engage.jsfx,,,1,JS: Midi Auto Engage,12
,ReaTeam JSFX/MIDI/talagan_MIDI CC Bistate Button.jsfx,,,1,JS: MIDI CC Bistate Button,14
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI CC Channel Router.jsfx,,,1,JS: MIDI CC Channel Router,20
,ReaTeam JSFX/MIDI/mschnell_MIDI CC fluctuation.jsfx,,,1,JS: MIDI CC fluctuation,23
,IX/MIDI_CCRider,,,1,JS: MIDI CC LFO Generator,13
,midi/midi_CC_mapper,,,1,JS: MIDI CC Mapper,8
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI CC Mapper (-24 +24 range).jsfx,,,1,JS: MIDI CC Mapper (-24 + 24 range),8
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI CC Mapper (scale).jsfx,,,1,JS: MIDI CC Mapper (scale),12
,ReaTeam JSFX/MIDI/talagan_MIDI CC Mapper X.jsfx,,,1,JS: MIDI CC Mapper X,95
,ReaTeam JSFX/Utility/mschnell_Midi CC Table.jsfx,,,1,JS: Midi CC Table,9
,ReaTeam JSFX/MIDI/rekseffeks_MIDI CC to pitchbend.jsfx,,,1,JS: MIDI CC to pitchbend,5
,ReaTeam JSFX/Utility/mschnell_MIDI CC2SYSEX.jsfx,,,1,JS: MIDI CC to SysEx,9
,ReaTeam JSFX/MIDI/albthealbatross_MIDI Channel Cycler.jsfx,,,1,JS: MIDI Channel Cycler,22
,ReaTeam JSFX/MIDI/talagan_MIDI Channel Matrix Router.jsfx,,,1,JS: MIDI Channel Matrix Router,31
,ReaTeam JSFX/MIDI/eralumin_MIDI Channel Toggle.jsfx,,,1,JS: MIDI Channel Toggle,19
,midi/midi_choke,,,1,JS: MIDI Choke,13
,midi/midi_chordkey,,,1,JS: MIDI Chord In Key,9
,ReaTeam JSFX/MIDI/albthealbatross_MIDI Chord Strummer.jsfx,,,1,JS: MIDI Chord Strummer,18
,midi/midi_chorderizer,,,1,JS: MIDI Chorderizer,11
,ReaTeam JSFX/MIDI/bertbouwhuis_MIDI controller for S8 looper with fade in and out.jsfx,,,1,JS: MIDI controller for S8 looper with fade in and out,19
,ReaTeam JSFX/Utility/mschnell_MIDI Convert to CC.jsfx,,,1,JS: MIDI convert to CC,13
,midi/midi_delay,,,1,JS: MIDI Delay,8
,ReaTeam JSFX/MIDI/talagan_MIDI Delay X.jsfx,,,1,JS: MIDI Delay X,17
,ReaTeam JSFX/Utility/mschnell_MIDI Display 3 CCs.jsfx,,,1,JS: MIDI Display 3 CCs,8
,ReaTeam JSFX/Utility/mschnell_MIDI Display Patch Name.jsfx,,,1,JS: MIDI Display Patch Name,7
,IX/MIDI_DuplicateFilter,,,1,JS: MIDI Duplicate Note Filter,4
,ReaTeam JSFX/MIDI/polgo_MIDI Envelocity.jsfx,,,1,JS: MIDI Envelocity,8
,loser/MIDI_EQ_Ducker,,,1,JS: MIDI EQ Ducker,14
,ReaTeam JSFX/MIDI/willdevelop_MIDI every note the same.jsfx,,,1,JS: MIDI every note the same,5
,ReaTeam JSFX/Utility/mschnell_MIDI Fade.jsfx,,,1,JS: MIDI Fade X,12
,ReaTeam JSFX/MIDI/talagan_MIDI Force Notes to Range.jsfx,,,1,JS: MIDI Force Notes To Range,7
,ReaTeam JSFX/MIDI/juan_r_MIDI Fret and Pick.jsfx,,,1,JS: MIDI Fret and Pick,11
,ReaTeam JSFX/MIDI/mschnell_MIDI glissando.jsfx,,,1,JS: MIDI glissando,12
,ReaTeam JSFX/MIDI/urtzurd_MIDI Glissando.jsfx,,,1,JS: MIDI Glissando,6
,ReaTeam JSFX/MIDI/tomaszpio_MIDI hold notes range.jsfx,,,1,JS: MIDI hold notes range,6
,ReaTeam JSFX/MIDI/amagalma_MIDI Keyboard Split Route Transpose.jsfx,,,1,JS: MIDI Keyboard Splitter Bus Router Transpose,9
,ReaTeam Scripts/Tracks/tilr_Keyboard splitter/MIDI Keyvel Filter.jsfx,,,1,JS: MIDI Keyvel Filter,8
,midi/midi_logger,,,1,JS: MIDI Logger,4
,midi/midi_maptokey,,,1,JS: MIDI Map To Key,6
,IX/MIDI_KeyMap,,,1,JS: MIDI Map To Key v2,8
,schwa/midi_modal_randomness,,,1,JS: MIDI Modal Randomness,19
,ReaTeam JSFX/Utility/TimeWaster MIDI-Mouse.jsfx,,,1,JS: MIDI Mouse,10
,ReaTeam JSFX/MIDI/mschnell_MIDI MPE to single channel.jsfx,,,1,JS: MIDI MPE to single channel,13
,ReaTeam JSFX/MIDI/talagan_MIDI Multi Channel Pre-Delay.jsfx,,,1,JS: MIDI Multi Channel Pre-Delay,21
,ReaTeam JSFX/MIDI/talagan_MIDI Multi Channel Pre-Delay Live Flagger.jsfx,,,1,JS: MIDI Multi Channel Pre-Delay Live Flagger,5
,midi/midi_note_filter,,,1,JS: MIDI Note Filter,6
,midi/midi_note_hold,,,1,JS: MIDI Note Hold,4
,ReaTeam JSFX/MIDI/cfillion_MIDI note length control.jsfx,,,1,JS: MIDI note length control,8
,sstillwell/randomizer,,,1,JS: MIDI Note Randomize,8
,ReaTeam JSFX/MIDI/talagan_MIDI Note Remapper.jsfx,,,1,JS: MIDI Note Remapper,137
,midi/midi_note_repeater,,,1,JS: MIDI Note Repeater,4
,ReaTeam JSFX/MIDI/willdevelop_MIDI Note Repeater [Default Key Map B1 - A4].jsfx,,,1,JS: MIDI Note Repeater [Default Key Map B1 - A4],10
,midi/midi_note_sanitizer,,,1,JS: MIDI note sanitizer,4
,ReaTeam JSFX/MIDI/TJA_MIDI note-banked CC multiplier.jsfx,,,1,JS: MIDI note-banked CC multiplier,14
,midi/midinoteondelay,,,1,JS: MIDI Note-On Delay,5
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI notes octave transpose shift.jsfx,,,1,JS: MIDI Notes Octave Transpose Shift,5
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI notes sequence from CSV file.jsfx,,,1,JS: MIDI notes sequence from CSV file,12
,IX/MIDI_Variant,,,1,JS: MIDI Pattern/Scale Variation Generator,12
,ReaTeam JSFX/MIDI/TJA_MIDI Performer2.jsfx,,,1,JS: MIDI Performer2,67
,ReaTeam JSFX/MIDI/mschnell_MIDI PB x X.jsfx,,,1,JS: MIDI Pitch Bend Factor,6
,IX/MIDI_Wobulator,,,1,JS: MIDI Pitch Wheel LFO,9
,ReaTeam JSFX/Misc/TiaR_PM_Resynth.jsfx,,,1,JS: MIDI PM Resynth,18
,ReaTeam JSFX/MIDI/talagan_MIDI Poly Aftertouch CC Multiplexer.jsfx,,,1,JS: MIDI Poly Aftertouch CC Multiplexer,136
,midi/program_bank_onload,,,1,JS: MIDI Program/Bank Switch on Load,8
,ReaTeam JSFX/MIDI/erantalmor_MIDI Rhythm Trainer.jsfx,,,1,JS: MIDI Rhythm Trainer,52
,midi/midi_note2channel,,,1,JS: MIDI Route Note To Channel,5
,ReaTeam JSFX/MIDI/mschnell_MIDI route via GMEM.jsfx,,,1,JS: MIDI route via GMEM,6
,IX/MIDI_Router,,,1,JS: MIDI Router/Transpose,9
,ReaTeam JSFX/MIDI/boreg_MIDI routing matrix.jsfx,,,1,JS: MIDI routing matrix,4
,midi/sequencer_baby,,,1,JS: MIDI Sequencer Baby,5
,midi/sequencer_baby_v2,,,1,JS: MIDI Sequencer Baby v2,8
,midi/sequencer_megababy,,,1,JS: MIDI Sequencer Megababy,29
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI single note map.jsfx,,,1,JS: MIDI single note map,7
,IX/MIDI_KeySnap,,,1,JS: MIDI Snap To Key,10
,ReaTeam JSFX/MIDI/talagan_MIDI Split Pitch Bend to CCs.jsfx,,,1,JS: MIDI Split Pitch Bend to CCs,9
,ReaTeam JSFX/MIDI/cfillion_MIDI Taps Repeater.jsfx,,,1,JS: MIDI Taps Repeater,9
,IX/MIDI_Tool,,,1,JS: MIDI Tool,14
,IX/MIDI_Tool II,,,1,JS: MIDI Tool v2,18
,midi/midi_transpose,,,1,JS: MIDI Transpose Notes,7
,ReaTeam JSFX/Utility/mschnell_MIDI Trigger CC.jsfx,,,1,JS: MIDI Trigger CC,15
,ReaTeam JSFX/MIDI/polgo_MIDI Varocity.jsfx,,,1,JS: MIDI Varocity,23
,schwa/midi_humanizer,,,1,JS: MIDI Velocity and Timing Humanizer,11
,midi/midi_velocitycontrol,,,1,JS: MIDI Velocity Control,9
,ReaTeam JSFX/MIDI/willdevelop_MIDI Velocity Filter.jsfx,,,1,JS: MIDI Velocity Filter,5
,sstillwell/volscale,,,1,JS: MIDI Velocity Scaler/Compressor,7
,IX/MIDI_Velocifier II,,,1,JS: MIDI Velocity Variation Generator,10
,ReaTeam JSFX/Utility/mschnell_MIDI Volume Control.jsfx,,,1,JS: Midi Volume Control,9
,ReaTeam JSFX/MIDI/bor-T_MIDI_XY_Pad_Controller.jsfx,,,1,JS: MIDI XY Pad Controller (bor-T),3
,Liteon/moog24db,,,1,JS: Moog 4-Pole Filter,11
,midi/mtc_logger,,,1,JS: MTC Logger,3
,ReaTeam JSFX/Utility/mschnell_Multi_Sin_Generator.jsfx,,,1,JS: Multi Sine Generator,9
,Liteon/waveshapermulti,,,1,JS: Multi Waveshaper,10
,ReaTeam JSFX/MIDI/albthealbatross_Multi-Channel MIDI Timing Randomizer.jsfx,,,1,JS: Multi-Channel MIDI Timing Randomizer,8
,ReaTeam JSFX/Utility/ReaperBlog_Multichannel Volume Trim.jsfx,,,1,JS: Multichannel Volume Trim,19
,ReaTeam JSFX/Utility/ReaperBlog_Multichannel Volume Trim 2.jsfx,,,1,JS: Multichannel Volume Trim 2,4
,ReaTeam JSFX/Utility/mschnell_Mute monitor when recording.jsfx,,,1,JS: Mute monitor when recording,6
,X-Raym Scripts/JSFX/X-Raym_Mute on loop.jsfx,,,1,JS: Mute on loop,4
,Liteon/nonlinear,,,1,JS: Non-Linear Processor,8
,ReaTeam JSFX/MIDI/cfillion_Note Duplicator.jsfx,,,1,JS: Note Duplicator,5
,X-Raym Scripts/JSFX/MIDI/X-Raym_MIDI note generator.jsfx,,,1,JS: Note Generator,8
,ReaTeam JSFX/MIDI/mschnell_Note On Delay Tool.jsfx,,,1,JS: Note On Delay Tool,12
,X-Raym Scripts/JSFX/MIDI/X-Raym_Note On under X velocity to Note Off.jsfx,,,1,JS: Note On under X velocity to Note Off,5
,ReaTeam JSFX/MIDI/mschnell_Note On under X velocity to Note Off and send All Notes Off.jsfx,,,1,JS: Note On under X velocity to Note Off and send All Notes Off,7
,ReaTeam JSFX/MIDI/mschnell_Note On Velocity Tool.jsfx,,,1,JS: Note On Velocity Tool,12
,ReaTeam Scripts/MIDI Editor/kl_Preset velocity/Note Preview.jsfx,,,1,JS: Note Preview,3
,X-Raym Scripts/JSFX/MIDI/X-Raym_Note to CC.jsfx,,,1,JS: Note to CC,6
,ReaTeam JSFX/MIDI/tilr_Notes to CC.jsfx,,,1,JS: Notes to CC,13
,Liteon/np1136peaklimiter,,,1,JS: NP1136 Peak Limiter,17
,ReaTeam Scripts/MIDI Editor/talagan_OneSmallStep/One Small Step Helper.jsfx,,,1,JS: One Small Step Helper,138
,analysis/gfxscope,,,1,JS: Oscilloscope Meter (Cockos),6
,ReaTeam JSFX/Utility/jw_gfxscope-beat-retrigger.jsfx,,,1,JS: Oscilloscope w/ beat retrigger,6
,sstillwell/ozzifier,,,1,JS: Ozzifier Chorus,9
,remaincalm_org/paranoia_mangler,,,1,JS: Paranoia Mangler,14
,utility/phase_adjust,,,1,JS: Phase Rotator,5
,loser/ppp,,,1,JS: Ping Pong Pan,5
,Liteon/pinknoisegen,,,1,JS: Pink Noise Generator,7
,pitch/octavedown,,,1,JS: Pitch an Octave Down,7
,pitch/octaveup,,,1,JS: Pitch an Octave Up,7
,pitch/pitchdown,,,1,JS: Pitch Down-Shifter,10
,pitch/pitch2,,,1,JS: Pitch Down-Shifter 2,11
,pitch/superpitch,,,1,JS: Pitch Shifter 2,11
,ReaTeam JSFX/MIDI/mbncp_PitchWheel.jsfx,,,1,JS: PitchWheel Control Center,15
,ReaTeam JSFX/MIDI/gofer_Poly Aftertouch Converter.jsfx,,,1,JS: Poly Aftertouch Converter,10
,ReaTeam JSFX/Utility/jcgurango_Pre-Arranged Looper.jsfx,,,1,JS: Pre-Arranged Looper,10
,ReaTeam JSFX/Utility/jcgurango_MIDI Arranged Looper.jsfx,,,1,JS: Pre-Arranged MIDI Looper,11
,Liteon/presenceeq,,,1,JS: Presence EQ,8
,ReaTeam JSFX/Routing/MDF_Quad to DMS.jsfx,,,1,JS: Quadraphonic to DoubleMidSide,4
,ReaTeam JSFX/Filter/tilr_QuickFilter.jsfx,,,1,JS: QuickFilter,9
,sstillwell/rbj1073,,,1,JS: RBJ 1073 EQ,10
,Teej/rbj4notch-teej,,,1,JS: RBJ 4-Band Notch Filter,11
,sstillwell/rbj4eq,,,1,JS: RBJ 4-Band Semi-Parametric EQ,11
,Teej/rbj4eq-teej,,,1,JS: RBJ 4-Band Semi-Parametric EQ v2,18
,sstillwell/rbj7eq,,,1,JS: RBJ 7-Band Graphic EQ,11
,sstillwell/hpflpf,,,1,JS: RBJ Highpass/Lowpass Filters,6
,Liteon/rbjstereofilter12db,,,1,JS: RBJ Stereo Image Filter,11
